STATION,LINENAME,DATE,TIME,ENTRIES,EXITS
BEDFORD AV,L,02/11/2017,03:00:00,12834104,0013759516                                             
BEDFORD AV,L,02/11/2017,07:00:00,12834176,0013759565                                             
BEDFORD AV,L,02/11/2017,11:00:00,12834326,0013759900                                             
BEDFORD AV,L,02/11/2017,15:00:00,12834637,0013760425                                             
BEDFORD AV,L,02/11/2017,19:00:00,12835138,0013761105                                             
BEDFORD AV,L,02/11/2017,23:00:00,12835653,0013761828                                             
BEDFORD AV,L,02/12/2017,03:00:00,12835970,0013762064                                             
BEDFORD AV,L,02/12/2017,07:00:00,12836048,0013762119                                             
BEDFORD AV,L,02/12/2017,11:00:00,12836145,0013762339                                             
BEDFORD AV,L,02/12/2017,15:00:00,12836477,0013762859                                             
BEDFORD AV,L,02/12/2017,19:00:00,12836920,0013763386                                             
BEDFORD AV,L,02/12/2017,23:00:00,12837136,0013763722                                             
BEDFORD AV,L,02/13/2017,03:00:00,12837211,0013763789                                             
BEDFORD AV,L,02/13/2017,07:00:00,12837248,0013763883                                             
BEDFORD AV,L,02/13/2017,11:00:00,12838084,0013764548                                             
BEDFORD AV,L,02/13/2017,15:00:00,12838460,0013765005                                             
BEDFORD AV,L,02/13/2017,19:00:00,12838972,0013766095                                             
BEDFORD AV,L,02/13/2017,23:00:00,12839295,0013766970                                             
BEDFORD AV,L,02/14/2017,03:00:00,12839379,0013767034                                             
BEDFORD AV,L,02/14/2017,07:00:00,12839420,0013767162                                             
BEDFORD AV,L,02/14/2017,11:00:00,12840309,0013767788                                             
BEDFORD AV,L,02/14/2017,15:00:00,12840658,0013768271                                             
BEDFORD AV,L,02/14/2017,19:00:00,12841250,0013769503                                             
BEDFORD AV,L,02/14/2017,23:00:00,12841554,0013770425                                             
BEDFORD AV,L,02/15/2017,03:00:00,12841653,0013770513                                             
BEDFORD AV,L,02/15/2017,07:00:00,12841689,0013770650                                             
BEDFORD AV,L,02/15/2017,11:00:00,12842398,0013771311                                             
BEDFORD AV,L,02/15/2017,15:00:00,12842682,0013771792                                             
BEDFORD AV,L,02/15/2017,19:00:00,12843214,0013772907                                             
BEDFORD AV,L,02/15/2017,23:00:00,12843484,0013773808                                             
BEDFORD AV,L,02/16/2017,03:00:00,12843541,0013773894                                             
BEDFORD AV,L,02/16/2017,07:00:00,12843566,0013773996                                             
BEDFORD AV,L,02/16/2017,11:00:00,12844264,0013774671                                             
BEDFORD AV,L,02/16/2017,15:00:00,12844553,0013775135                                             
BEDFORD AV,L,02/16/2017,19:00:00,12845080,0013776215                                             
BEDFORD AV,L,02/16/2017,23:00:00,12845371,0013777067                                             
BEDFORD AV,L,02/17/2017,03:00:00,12845468,0013777245                                             
BEDFORD AV,L,02/17/2017,07:00:00,12845511,0013777366                                             
BEDFORD AV,L,02/17/2017,11:00:00,12846251,0013778019                                             
BEDFORD AV,L,02/17/2017,15:00:00,12846651,0013778579                                             
BEDFORD AV,L,02/17/2017,19:00:00,12847220,0013779834                                             
BEDFORD AV,L,02/17/2017,23:00:00,12847710,0013780647                                             
BEDFORD AV,L,02/11/2017,03:00:00,21703115,0011485475                                             
BEDFORD AV,L,02/11/2017,07:00:00,21703229,0011485529                                             
BEDFORD AV,L,02/11/2017,11:00:00,21703526,0011485954                                             
BEDFORD AV,L,02/11/2017,15:00:00,21704092,0011486468                                             
BEDFORD AV,L,02/11/2017,19:00:00,21705000,0011487053                                             
BEDFORD AV,L,02/11/2017,23:00:00,21705828,0011487609                                             
BEDFORD AV,L,02/12/2017,03:00:00,21706312,0011487892                                             
BEDFORD AV,L,02/12/2017,07:00:00,21706418,0011487963                                             
BEDFORD AV,L,02/12/2017,11:00:00,21706585,0011488278                                             
BEDFORD AV,L,02/12/2017,15:00:00,21707197,0011488787                                             
BEDFORD AV,L,02/12/2017,19:00:00,21708019,0011489309                                             
BEDFORD AV,L,02/12/2017,23:00:00,21708472,0011489649                                             
BEDFORD AV,L,02/13/2017,03:00:00,21708594,0011489730                                             
BEDFORD AV,L,02/13/2017,07:00:00,21708678,0011489900                                             
BEDFORD AV,L,02/13/2017,11:00:00,21710115,0011490312                                             
BEDFORD AV,L,02/13/2017,15:00:00,21710686,0011490738                                             
BEDFORD AV,L,02/13/2017,19:00:00,21711595,0011491879                                             
BEDFORD AV,L,02/13/2017,23:00:00,21712216,0011492823                                             
BEDFORD AV,L,02/14/2017,03:00:00,21712354,0011492963                                             
BEDFORD AV,L,02/14/2017,07:00:00,21712433,0011493156                                             
BEDFORD AV,L,02/14/2017,11:00:00,21713791,0011493548                                             
BEDFORD AV,L,02/14/2017,15:00:00,21714421,0011493997                                             
BEDFORD AV,L,02/14/2017,19:00:00,21715374,0011495302                                             
BEDFORD AV,L,02/14/2017,23:00:00,21716019,0011496252                                             
BEDFORD AV,L,02/15/2017,03:00:00,21716082,0011496392                                             
BEDFORD AV,L,02/15/2017,07:00:00,21716166,0011496584                                             
BEDFORD AV,L,02/15/2017,11:00:00,21717528,0011497036                                             
BEDFORD AV,L,02/15/2017,15:00:00,21718081,0011497473                                             
BEDFORD AV,L,02/15/2017,19:00:00,21719049,0011498470                                             
BEDFORD AV,L,02/15/2017,23:00:00,21719576,0011499461                                             
BEDFORD AV,L,02/16/2017,03:00:00,21719621,0011499618                                             
BEDFORD AV,L,02/16/2017,07:00:00,21719699,0011499768                                             
BEDFORD AV,L,02/16/2017,11:00:00,21721087,0011500216                                             
BEDFORD AV,L,02/16/2017,15:00:00,21721650,0011500680                                             
BEDFORD AV,L,02/16/2017,19:00:00,21722518,0011501805                                             
BEDFORD AV,L,02/16/2017,23:00:00,21723058,0011502737                                             
BEDFORD AV,L,02/17/2017,03:00:00,21723250,0011502879                                             
BEDFORD AV,L,02/17/2017,07:00:00,21723343,0011503078                                             
BEDFORD AV,L,02/17/2017,11:00:00,21724613,0011503551                                             
BEDFORD AV,L,02/17/2017,15:00:00,21725392,0011504050                                             
BEDFORD AV,L,02/17/2017,19:00:00,21726370,0011505211                                             
BEDFORD AV,L,02/17/2017,23:00:00,21727179,0011506019                                             
BEDFORD AV,L,02/11/2017,03:00:00,6430341,0001290348                                             
BEDFORD AV,L,02/11/2017,07:00:00,6430488,0001290411                                             
BEDFORD AV,L,02/11/2017,11:00:00,6431038,0001290639                                             
BEDFORD AV,L,02/11/2017,15:00:00,6431929,0001290817                                             
BEDFORD AV,L,02/11/2017,19:00:00,6433072,0001290964                                             
BEDFORD AV,L,02/11/2017,23:00:00,6434261,0001291162                                             
BEDFORD AV,L,02/12/2017,03:00:00,6435065,0001291304                                             
BEDFORD AV,L,02/12/2017,07:00:00,6435208,0001291360                                             
BEDFORD AV,L,02/12/2017,11:00:00,6435585,0001291497                                             
BEDFORD AV,L,02/12/2017,15:00:00,6436616,0001291683                                             
BEDFORD AV,L,02/12/2017,19:00:00,6437969,0001291792                                             
BEDFORD AV,L,02/12/2017,23:00:00,6438754,0001291929                                             
BEDFORD AV,L,02/13/2017,03:00:00,6438972,0001291955                                             
BEDFORD AV,L,02/13/2017,07:00:00,6439150,0001292095                                             
BEDFORD AV,L,02/13/2017,11:00:00,6440802,0001292187                                             
BEDFORD AV,L,02/13/2017,15:00:00,6441734,0001292346                                             
BEDFORD AV,L,02/13/2017,19:00:00,6443248,0001292603                                             
BEDFORD AV,L,02/13/2017,23:00:00,6444246,0001292829                                             
BEDFORD AV,L,02/14/2017,03:00:00,6444473,0001292899                                             
BEDFORD AV,L,02/14/2017,07:00:00,6444693,0001293027                                             
BEDFORD AV,L,02/14/2017,11:00:00,6446618,0001293108                                             
BEDFORD AV,L,02/14/2017,15:00:00,6447678,0001293283                                             
BEDFORD AV,L,02/14/2017,19:00:00,6449246,0001293555                                             
BEDFORD AV,L,02/14/2017,23:00:00,6450406,0001293902                                             
BEDFORD AV,L,02/15/2017,03:00:00,6450458,0001294037                                             
BEDFORD AV,L,02/15/2017,07:00:00,6450660,0001294158                                             
BEDFORD AV,L,02/15/2017,11:00:00,6452791,0001294224                                             
BEDFORD AV,L,02/15/2017,15:00:00,6453811,0001294353                                             
BEDFORD AV,L,02/15/2017,19:00:00,6455136,0001294618                                             
BEDFORD AV,L,02/15/2017,23:00:00,6456236,0001294994                                             
BEDFORD AV,L,02/16/2017,03:00:00,6456261,0001295107                                             
BEDFORD AV,L,02/16/2017,07:00:00,6456428,0001295222                                             
BEDFORD AV,L,02/16/2017,11:00:00,6458383,0001295309                                             
BEDFORD AV,L,02/16/2017,15:00:00,6459385,0001295483                                             
BEDFORD AV,L,02/16/2017,19:00:00,6460886,0001295721                                             
BEDFORD AV,L,02/16/2017,23:00:00,6461988,0001296009                                             
BEDFORD AV,L,02/17/2017,03:00:00,6462313,0001296104                                             
BEDFORD AV,L,02/17/2017,07:00:00,6462533,0001296241                                             
BEDFORD AV,L,02/17/2017,11:00:00,6464235,0001296347                                             
BEDFORD AV,L,02/17/2017,15:00:00,6465046,0001296500                                             
BEDFORD AV,L,02/17/2017,19:00:00,6466623,0001296730                                             
BEDFORD AV,L,02/17/2017,23:00:00,6467546,0001296970                                             
